"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
9.212,9.596,10.172,9.884,9.98,9.404,9.884,10.364,7.004,6.908,6.812,6.236,6.044,8.156,9.5,11.42,9.788,8.348,7.292,6.044,9.212,10.844,11.132,8.924,9.404,10.268,10.076,6.908,6.332,6.524,6.524,6.62,6.62,9.98,9.308,9.308,9.404,6.812,6.62,6.62,6.62,9.5,11.132,9.98,10.652,7.484,6.236,6.812,10.748,11.42,9.596,7.484,6.428,6.716,8.732,9.308,7.292,7.292,8.54,9.884
9.98,10.268,9.788,10.076,6.716,6.332,6.332,6.428,10.268,10.172,7.484,6.716,9.308,10.748,11.324,11.42,6.62,6.428,6.428,8.06,8.156,9.98,12.668,11.612,9.5,6.14,6.428,8.444,8.636,7.004,6.62,9.884,11.036,11.324,8.348,9.308,9.5,7.292,7.676,9.692,11.132,11.036,11.708,11.42,10.364,6.428,6.428,9.692,9.788,9.884,7.196,6.236,9.692,11.42,11.132,7.676,6.428,8.54,8.06,7.964
7.868,7.58,6.908,6.62,9.884,9.884,9.98,10.076,10.076,10.076,7.388,7.58,10.076,11.324,9.02,8.06,7.868,10.844,10.844,10.268,6.62,6.044,10.268,11.228,10.46,8.06,6.716,10.268,9.404,9.116,8.828,8.732,8.252,8.252,8.156,7.772,12.38,11.996,10.076,11.42,8.924,6.428,7.772,7.292,6.62,7.292,6.908,6.428,8.252,10.748,10.844,8.636,5.66,7.388,8.348,9.116,9.212,9.5,9.98,8.444
9.98,10.268,7.772,6.62,7.58,10.364,11.516,11.516,11.228,9.788,7.388,6.908,8.348,8.252,6.428,7.868,10.364,9.98,9.596,8.732,8.348,7.676,8.156,10.268,9.98,9.404,8.924,7.868,8.252,11.324,10.94,10.076,8.252,8.252,9.5,9.98,9.98,7.964,6.524,9.596,9.884,9.5,6.908,6.908,7.004,9.98,11.516,11.42,9.5,8.444,8.828,6.428,5.948,9.116,9.404,9.5,10.652,9.884,7.292,6.332
9.884,11.228,10.748,7.292,7.868,9.98,9.98,8.156,7.868,9.884,11.42,11.132,6.428,7.772,7.196,9.116,10.076,10.844,10.076,10.46,8.348,9.5,9.596,8.828,6.428,6.428,8.06,11.324,11.132,8.348,9.404,10.172,10.076,9.788,9.404,9.308,10.172,9.692,7.676,9.404,11.036,11.228,10.748,10.076,8.156,6.332,7.388,7.484,7.58,9.596,10.076,8.444,8.06,6.524,6.524,6.812,9.308,10.076,9.116,8.156
9.308,7.196,6.62,9.788,11.324,10.748,9.116,9.884,11.228,10.364,7.484,9.884,12.668,11.42,9.884,9.98,9.884,7.004,6.14,9.98,10.172,7.964,7.1,6.812,10.268,11.708,10.364,6.812,7.676,7.772,7.484,10.46,11.516,10.46,7.1,7.292,9.884,10.748,10.748,9.5,7.58,9.308,10.364,9.884,9.116,8.636,8.444,9.788,10.748,11.228,10.844,8.348,8.06,6.716,7.676,7.388,10.076,12.476,11.42,9.596
10.844,11.228,8.252,6.236,6.908,10.844,10.94,11.324,11.324,7.1,6.716,10.268,10.364,9.308,8.252,8.252,8.06,6.524,11.132,11.324,7.772,6.044,7.004,7.772,11.804,10.556,9.116,7.484,7.964,9.98,13.82,10.364,7.676,6.236,7.292,8.636,9.884,9.98,9.98,9.116,9.02,9.596,10.076,11.516,9.212,8.732,10.076,9.98,10.076,9.98,7.58,6.428,6.62,7.1,7.1,7.964,10.652,14.396,11.228,10.364
9.212,9.98,9.692,8.444,8.156,8.06,10.46,8.924,7.388,8.348,10.076,10.076,9.98,8.156,7.868,8.06,12.86,11.612,10.172,9.98,9.884,9.404,9.404,8.444,6.332,6.428,11.324,10.748,9.98,9.308,8.444,8.444,7.292,8.924,9.5,10.268,11.228,9.212,6.236,6.14,8.06,8.06,10.076,13.724,12.38,9.5,8.06,8.156,6.62,6.428,8.54,11.132,11.228,7.196,7.388,6.716,8.252,11.708,11.516,9.884
10.076,11.228,9.5,7.292,6.332,9.02,10.46,10.652,9.5,6.62,6.62,7.484,7.292,10.268,10.172,10.076,8.54,6.62,6.62,9.98,14.3,9.98,7.292,6.908,9.788,9.404,9.212,9.5,9.788,9.884,8.444,6.62,9.5,12.572,11.612,9.884,7.484,8.156,11.036,14.972,10.364,6.908,7.1,7.292,9.98,9.98,8.252,6.908,7.292,8.156,9.5,11.324,9.98,9.884,9.98,7.868,6.62,6.332,7.1,9.692
9.98,10.268,9.98,7.292,8.348,10.652,11.324,9.98,7.676,6.044,8.828,11.228,10.748,10.364,11.804,9.212,6.332,6.716,12.764,9.884,8.54,9.308,9.308,9.5,9.404,8.444,6.332,6.716,10.268,10.844,9.404,6.044,7.1,7.676,7.484,9.212,10.364,12.956,11.42,9.884,8.924,6.14,6.044,6.524,6.428,9.5,9.404,9.788,8.444,8.252,7.004,6.812,7.868,10.172,9.692,8.828,8.732,9.788,9.884,7.292
